���authors,#formats,#genre,isbn,pubdate,title
Joe Abercrombie,,Fantasy,9.78058E+12,2010-03-17T00:00:00-07:00,Before They Are Hanged
Joe Abercrombie,,Fantasy,9.78058E+12,2008-03-19T21:00:00-07:00,Last Argument of Kings
Joe Abercrombie,,Fantasy,9.78058E+12,2010-03-17T21:00:00-07:00,The Blade Itself
Douglas Adams,,Science-Fiction,9.78067E+12,1991-06-01T10:29:55-07:00,Dirk Gently's Holistic Detective Agency
Douglas Adams,,Science-Fiction,9.78031E+12,2008-07-14T03:00:00-07:00,"Life, the Universe and Everything"
Douglas Adams,,Science-Fiction,9.78035E+12,1993-10-18T23:54:55-07:00,Mostly Harmless
Douglas Adams,,Science-Fiction,9.78031E+12,2008-07-14T03:00:00-07:00,"So Long, and Thanks for All the Fish"
Douglas Adams,,Science-Fiction,9.78035E+12,1997-06-22T00:00:00-07:00,The Hitchhiker's Guide to the Galaxy
Douglas Adams,,Science-Fiction,9.78067E+12,1991-02-15T09:13:48-08:00,The Long Dark Tea-Time of the Soul
Douglas Adams,,Science-Fiction,9.78035E+12,1995-09-27T03:00:00-07:00,The Restaurant at the End of the Universe
Richard Adams,,Fiction:Young Adult,9.78068E+12,1996-10-15T00:00:00-07:00,Tales From Watership Down
Louisa May Alcott,,classics,9.78045E+12,2004-04-05T00:00:00-07:00,Little Women
Alex Archer,,Fantasy,9.78037E+12,2010-07-12T21:00:00-07:00,Tribal Ways
Stephen E. Ambrose,,History,9.78074E+12,2002-08-27T03:59:37-07:00,"Band of Brothers: E Company, 506th Regiment, 101st Airborne From Normandy to Hitler's Eagle's Nest"
Stephen E. Ambrose,,History,9.78067E+12,1988-11-15T02:59:18-08:00,"Pegasus Bridge: June 6, 1944"
Anonymous,,classics,9.78141E+12,2006-06-15T00:00:00-07:00,Beowulf
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,Destiny
Alex Archer,,Fantasy,9.78037E+12,2009-03-09T21:00:00-07:00,Eternal Journey
Alex Archer,,Fantasy,9.78037E+12,2009-09-07T21:00:00-07:00,Footprints
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,Forbidden City
Jane Austen,,classics,9.7816E+12,1955-07-15T01:00:00-07:00,Emma
Jane Austen,,classics,,2009-08-15T00:00:00-07:00,Mansfield Park
Jane Austen,,classics,,2006-01-18T00:00:00-08:00,Northanger Abbey
Jane Austen,,classics,,2009-07-15T00:00:00-07:00,Persuasion
Jane Austen,,classics,9.78024E+12,2004-03-04T00:00:00-08:00,Pride and Prejudice
Alex Archer,,Fantasy,9.78037E+12,2008-07-07T21:00:00-07:00,Gabriel's Horn
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,God of Thunder
Alex Archer,,Fantasy,9.78037E+12,2009-11-09T21:00:00-08:00,Paradox
Alex Archer,,Fantasy,9.78037E+12,2009-01-12T21:00:00-08:00,Polar Quest
Alex Archer,,Fantasy,9.78037E+12,2008-03-10T21:00:00-07:00,Provenance
Alex Archer,,Fantasy,9.78037E+12,2010-03-15T21:00:00-07:00,Sacred Ground
Alex Archer,,Fantasy,9.78037E+12,2009-05-11T21:00:00-07:00,Sacrifice
Alex Archer,,Fantasy,9.78037E+12,2007-09-10T21:00:00-07:00,Secret of the Slaves
Alex Archer,,Fantasy,9.78037E+12,2009-07-13T21:00:00-07:00,Seeker's Curse
Alex Archer,,Fantasy,9.78037E+12,2008-01-07T21:00:00-08:00,Serpent's Kiss
Jane Austen,,classics,,1908-07-15T00:00:00-08:00,Sense and Sensibility
Jane Austen & Seth Grahame-Smith,,Contemporary,9.78159E+12,2009-03-18T00:00:00-07:00,Pride and Prejudice and Zombies: The Classic Regency Romance -- Now With Ultraviolent Zombie Mayhem!
J. G. Ballard,,Science-Fiction,9.78031E+12,2001-07-15T11:12:43-07:00,Crash
Iain M. Banks,,Science-Fiction,9.78032E+12,2008-11-12T02:00:00-08:00,Consider Phlebas
Iain M. Banks,,Science-Fiction,9.78055E+12,2009-11-22T02:00:00-08:00,Excession
Iain M. Banks,,Science-Fiction,9.78142E+12,2007-10-17T03:00:00-07:00,Inversions
Iain M. Banks,,Science-Fiction,9.78074E+12,2009-11-22T02:00:00-08:00,Look to Windward
Iain M. Banks,,Science-Fiction,9.78032E+12,2008-02-25T00:00:00-08:00,Matter
Iain M. Banks,,Science-Fiction,,2010-02-01T02:00:00-08:00,The Algebraist
Iain M. Banks,,Science-Fiction,9.78032E+12,2008-11-12T02:00:00-08:00,The Player of Games
Iain M. Banks,,Science-Fiction,9.78032E+12,2008-11-12T02:00:00-08:00,Use of Weapons
James M. Barrie,,classics,9.78081E+12,1985-10-24T00:00:00-07:00,Peter Pan
Lyman Frank Baum,,classics,9.78045E+12,2006-07-15T00:00:00-07:00,The Wonderful Wizard of Oz
James Blish,,Science-Fiction,9.78035E+12,2000-09-05T10:10:29-07:00,A Case of Conscience
Nicholas Boothman,,Self-Help,9.78076E+12,2000-08-18T03:00:00-07:00,How to Make People Like You in 90 Seconds or Less
Anthony Bourdain,AZW3,Autobiography,9.78006E+12,2000-07-15T00:00:00-07:00,Kitchen Confidential: Adventures in the Culinary Underbelly
Anthony Bourdain,,Autobiography,9.78141E+12,2010-07-15T00:00:00-07:00,Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook
Mark Bowden,,History,9.78045E+12,2002-01-03T10:16:09-08:00,Black Hawk Down: A Story of Modern War
Ray Bradbury,,Science-Fiction,9.78038E+12,2001-06-14T11:11:32-07:00,A Graveyard for Lunatics: Another Tale of Two Cities
Ray Bradbury,,Science-Fiction,9.78038E+12,1998-10-01T11:11:19-07:00,Driving Blind
Ray Bradbury,,Science-Fiction,9.78035E+12,1991-02-14T02:00:00-08:00,Fahrenheit 451
Ray Bradbury,,Science-Fiction,9.78038E+12,1998-03-01T00:00:00-08:00,Something Wicked This Way Comes
Jim Butcher,,Fantasy:Detective,9.78045E+12,2006-05-01T00:00:00-07:00,Dead Beat
Jim Butcher,,Fantasy:Detective,9.78045E+12,2009-11-02T00:00:00-08:00,Death Masks
Jim Butcher,,Fantasy,9.78044E+12,2009-12-14T21:00:00-08:00,First Lord's Fury
Jim Butcher,,Fantasy:Detective,9.78045E+12,2001-01-08T00:00:00-08:00,Fool Moon
Jim Butcher,,Fantasy,9.78014E+12,2010-04-27T21:00:00-07:00,Furies of Calderon
Jim Butcher,,Fantasy:Detective,9.78045E+12,2008-11-03T00:00:00-08:00,Grave Peril
Jim Butcher,,Fantasy,9.78044E+12,2008-12-03T21:00:00-08:00,Princeps' Fury
Jim Butcher,,Fantasy:Detective,9.78045E+12,2006-05-01T00:00:00-07:00,Proven Guilty
